Iter,rel_residual,rel_error,reg_param
0,1.2490996661779251e+01,2.5035996720193854e-01,0
1,1.2186170829582725e+01,2.4728625118933178e-01,3.7858034581853701e+01
2,1.0074071601687700e+00,7.1099878157123014e-02,1.0004975057534899e-09
3,8.5689996235745147e-01,6.5573958534003232e-02,1.0004975057534899e-09
4,8.7850686956025614e-01,6.6395542042673408e-02,2.1455814178692932e-02
5,1.0113114533235321e+00,7.1237521772279724e-02,3.1440069280356649e-02
6,8.5148354552744177e-01,6.5366385333583146e-02,1.8626980264433834e-02
7,2.4584312661524407e-01,3.5123305012254039e-02,1.8808133709439987e-07
8,2.4621856040933707e-01,3.5150113663214459e-02,6.0530540677465374e-07
9,2.4838587600740666e-01,3.5304477490264545e-02,1.7885661974001996e-06
10,2.5019691668925526e-01,3.5432950418052347e-02,2.5505432137584836e-06
11,2.5062388671847663e-01,3.5463171331869853e-02,2.7233473237000046e-06
12,2.5065428773669662e-01,3.5465322132098132e-02,2.7356042408888279e-06
13,2.5077422787415626e-01,3.5473806341389372e-02,2.7839121848043517e-06
14,2.5052005028210722e-01,3.5455824165418585e-02,2.6814413671880575e-06
15,2.5016416981016665e-01,3.5430631531537200e-02,2.5372296459797316e-06
16,2.4984763904440177e-01,3.5408209386288830e-02,2.4079794298653834e-06
17,2.4954615454610124e-01,3.5386839865757601e-02,2.2837312404148595e-06
18,2.4925352539519674e-01,3.5366085672102053e-02,2.1617727645213074e-06
19,2.4901029569118810e-01,3.5348825771547160e-02,2.0591390291783313e-06
20,2.4879943930179177e-01,3.5333856301531207e-02,1.9690456622233668e-06
21,2.4860860946474422e-01,3.5320303120939457e-02,1.8864540776372337e-06
22,2.4844693974003315e-01,3.5308816888959101e-02,1.8155773276791299e-06
23,2.4830575314740436e-01,3.5298782875285428e-02,1.7529077404379106e-06
24,2.4818316452914799e-01,3.5290068290173372e-02,1.6978388691253223e-06
25,2.4808294629819180e-01,3.5282942373049755e-02,1.6523199570128132e-06
26,2.4799466463097919e-01,3.5276664000875084e-02,1.6118167113847826e-06
27,2.4791535552198107e-01,3.5271022781713332e-02,1.5750799141997238e-06
28,2.4784847894148937e-01,3.5266265181108321e-02,1.5438260819367011e-06
29,2.4778149077640263e-01,3.5261498998855105e-02,1.5122502490961215e-06
30,2.4771779725664653e-01,3.5256966631795408e-02,1.4819611886639097e-06
31,2.4765735700042238e-01,3.5252665224876904e-02,1.4529643454783090e-06
32,2.4759832293361644e-01,3.5248463386796332e-02,1.4243879666493565e-06
33,2.4754570910960030e-01,3.5244718096925740e-02,1.3986953382468361e-06
34,2.4749464234752658e-01,3.5241082553267168e-02,1.3735447924051104e-06
35,2.4744562370782525e-01,3.5237592466661929e-02,1.3491944907050766e-06
36,2.4739924951405642e-01,3.5234290344186028e-02,1.3259598487043195e-06
37,2.4735461252890842e-01,3.5231111629122805e-02,1.3034043024218163e-06
38,2.4731346425911793e-01,3.5228181100423313e-02,1.2824370693942588e-06
39,2.4727557705016204e-01,3.5225482604844684e-02,1.2629763106977303e-06
40,2.4724149450892202e-01,3.5223054917989806e-02,1.2453369721091076e-06
41,2.4721299086283674e-01,3.5221024485291560e-02,1.2304844404101319e-06
42,2.4718805350995890e-01,3.5219247998416338e-02,1.2174124093571032e-06
43,2.4716083898109595e-01,3.5217309187842341e-02,1.2030610407569634e-06
44,2.4713459495798282e-01,3.5215439416692661e-02,1.1891339713892771e-06
45,2.4711017596892476e-01,3.5213699582022882e-02,1.1760956598273042e-06
46,2.4708700694829777e-01,3.5212048727189485e-02,1.1636513851347927e-06
47,2.4706438786891527e-01,3.5210436982477111e-02,1.1514314073619005e-06
48,2.4704305125304205e-01,3.5208916553337445e-02,1.1398379560476646e-06
49,2.4702227935736060e-01,3.5207436302603569e-02,1.1284876514215895e-06
50,2.4700315998401010e-01,3.5206073759219067e-02,1.1179831951162551e-06
51,2.4698387744139175e-01,3.5204699534153963e-02,1.1073320658788364e-06
52,2.4696446351331292e-01,3.5203315891336649e-02,1.0965488985414939e-06
53,2.4694553273445646e-01,3.5201966630495241e-02,1.0859750132310339e-06
54,2.4692927544485474e-01,3.5200807877026459e-02,1.0768466031192419e-06
55,2.4691228829797734e-01,3.5199597061547287e-02,1.0672599393935861e-06
56,2.4689539190129539e-01,3.5198392673272037e-02,1.0576741255092147e-06
57,2.4687904618136466e-01,3.5197227498443971e-02,1.0483516831536299e-06
58,2.4686350310470387e-01,3.5196119502798565e-02,1.0394411301117068e-06
59,2.4684913696285851e-01,3.5195095374494230e-02,1.0311645383896973e-06
60,2.4683417377533787e-01,3.5194028652529394e-02,1.0225013469723171e-06
61,2.4682037755722661e-01,3.5193045094878396e-02,1.0144743417882183e-06
62,2.4680776603575230e-01,3.5192145972370609e-02,1.0071027526665187e-06
63,2.4679614702608685e-01,3.5191317589408196e-02,1.0002820560389545e-06
64,2.4678379849565410e-01,3.5190437173531680e-02,9.9300173072544305e-07
65,2.4677112812634136e-01,3.5189533788542129e-02,9.8549734338266654e-07
66,2.4675894783193331e-01,3.5188665323551860e-02,9.7824974254870374e-07
67,2.4674699321182011e-01,3.5187812928481652e-02,9.7110382541870693e-07
68,2.4673503713499662e-01,3.5186960408891438e-02,9.6392404362743211e-07
